Ward Code,wellbeing_2013
E09000001,8.397137045
E05000026,-3.828524367
E05000027,-10.17197379
E05000028,-9.884957836
E05000029,-10.60207209
E05000030,-4.589296986
E05000031,-7.88831607
E05000032,-9.442728653
E05000033,-6.467911156
E05000034,-9.221477957
E05000035,0.972439116
E05000036,-8.946192191
E05000037,-8.283204839
E05000038,-8.058141576
E05000039,-7.679958167
E05000040,-8.867971081
E05000041,-10.47921441
E05000042,-3.861326984
E05000043,3.555545048
E05000044,-5.661835609
E05000045,0.57290555
E05000046,-2.082608215
E05000047,-1.416665432
E05000048,2.978377021
E05000049,2.394326291
E05000050,1.458412697
E05000051,5.981252669
E05000052,9.24683989
E05000053,1.137272769
E05000054,0.446876366
E05000055,1.065129252
E05000056,5.91172339
E05000057,2.400886394
E05000058,3.140122394
E05000059,7.8649809
E05000060,-1.938407523
E05000061,3.471030915
E05000062,1.505065615
E05000063,0.471446524
E05000064,3.537062553
E05000065,-2.917889579
E05000066,6.587261699
E05000067,7.546125357
E05000068,6.342192648
E05000069,3.798098997
E05000070,-3.708741099
E05000071,-0.939045018
E05000072,0.77114098
E05000073,4.707235264
E05000074,2.574714856
E05000075,-3.447652166
E05000076,5.105894465
E05000077,1.355589251
E05000078,5.693549027
E05000079,-7.664824579
E05000080,0.430035935
E05000081,9.259626683
E05000082,3.563559929
E05000083,7.845739291
E05000084,-3.217531365
E05000085,-1.180637234
E05000086,-2.930616423
E05000087,-1.519255448
E05000088,-0.852869387
E05000089,-4.096143898
E05000090,3.194168973
E05000091,-13.47222583
E05000092,-5.246997852
E05000093,4.782021903
E05000094,-6.097192207
E05000095,-2.526749043
E05000096,3.243545282
E05000097,-0.718492871
E05000098,1.774418313
E05000099,1.627676121
E05000100,-11.33161243
E05000101,-0.146975032
E05000102,-2.551481677
E05000103,-3.203153023
E05000104,-0.027703494
E05000105,-4.779252665
E05000106,7.648773972
E05000107,5.068331233
E05000108,7.184031298
E05000109,6.70685362
E05000110,8.393126385
E05000111,7.260862639
E05000112,4.297378232
E05000113,4.294846902
E05000114,-7.269037351
E05000115,-4.70370252
E05000116,-4.158629356
E05000117,4.362363902
E05000118,7.445539879
E05000119,10.50081173
E05000120,6.986081626
E05000121,-7.038461623
E05000122,-0.261563452
E05000123,-2.79769034
E05000124,10.17333021
E05000125,2.544209283
E05000126,10.75440862
E05000127,11.572839
E05000128,2.828894884
E05000129,3.403726092
E05000130,-2.08788548
E05000131,-2.781557848
E05000132,2.188354587
E05000133,7.653526274
E05000134,-2.394104553
E05000135,9.141312368
E05000136,-5.791038289
E05000137,1.868202546
E05000138,-0.252403253
E05000139,-1.531576062
E05000140,-6.95204722
E05000141,0.387644495
E05000142,-0.729017106
E05000143,-4.354865989
E05000144,3.827745291
E05000145,0.864627867
E05000146,-2.889013764
E05000147,-1.928802472
E05000148,-4.177590476
E05000149,-9.871326408
E05000150,6.945150997
E05000151,5.92362621
E05000152,-0.082596114
E05000153,-2.241472524
E05000154,-13.8176014
E05000155,2.105249235
E05000156,4.11103071
E05000157,-10.270322
E05000158,-1.422694216
E05000159,3.775941933
E05000160,7.718547831
E05000161,-8.998939833
E05000162,7.815685314
E05000163,1.111374043
E05000164,-6.649583389
E05000165,-7.053666321
E05000166,-4.734097174
E05000167,-3.652687938
E05000168,-6.186704971
E05000169,-4.746303219
E05000170,0.226681032
E05000171,3.518532514
E05000172,0.3922672
E05000173,5.350694864
E05000174,2.282131767
E05000175,-1.147151688
E05000176,0.853573767
E05000177,-3.081750484
E05000178,3.867806359
E05000179,5.90863664
E05000180,2.220998254
E05000181,2.631094019
E05000182,11.02919392
E05000183,3.544759589
E05000184,-0.976344723
E05000185,-3.423561089
E05000186,-3.638744547
E05000187,2.412916531
E05000188,-1.401868817
E05000189,-4.025621511
E05000190,-3.741488294
E05000191,4.529656333
E05000192,7.430740387
E05000193,-1.774191142
E05000194,1.478878476
E05000195,-5.473336853
E05000196,3.691265613
E05000197,-13.81950901
E05000198,-8.379466403
E05000199,-11.15221638
E05000200,4.06235748
E05000201,-8.823361796
E05000202,2.389935532
E05000203,-6.008261017
E05000204,-9.880428683
E05000205,-1.953806523
E05000206,-8.445702861
E05000207,-6.512846878
E05000208,2.709567676
E05000209,1.841240551
E05000210,1.654497575
E05000211,-11.95418282
E05000212,-12.82533251
E05000213,2.690907749
E05000214,-5.381621869
E05000215,0.815188312
E05000216,-4.688895896
E05000217,-0.040015257
E05000218,6.068202805
E05000219,0.227736248
E05000220,-3.680491213
E05000221,-7.65577363
E05000222,-0.544937081
E05000223,-4.661438108
E05000224,-6.712872798
E05000225,0.845226605
E05000226,-6.832383489
E05000227,0.392160682
E05000228,-4.871867401
E05000229,-5.25556123
E05000230,-7.196853292
E05000231,-4.812797073
E05000232,0.426684196
E05000233,-6.153018911
E05000234,-0.012153622
E05000235,-8.737461039
E05000236,-9.294422548
E05000237,-6.319247155
E05000238,-5.987180382
E05000239,-5.920721487
E05000240,-5.711617648
E05000241,-5.579694211
E05000242,-6.92868652
E05000243,-2.809592914
E05000244,-2.1619937
E05000245,-6.697159191
E05000246,-8.500299509
E05000247,-1.934902552
E05000248,-9.131751844
E05000249,-10.55591969
E05000250,-0.386450189
E05000251,-3.775760544
E05000252,4.269506944
E05000253,-3.334081371
E05000254,-0.439646167
E05000255,1.006301646
E05000256,-3.027769302
E05000257,2.884445101
E05000258,-0.460308868
E05000259,9.730994124
E05000260,2.501739993
E05000261,0.842798054
E05000262,0.886250878
E05000263,-1.525417956
E05000264,0.472765268
E05000265,-5.994479162
E05000266,8.313148415
E05000267,-2.92513298
E05000268,-10.04667213
E05000269,6.816898861
E05000270,6.198699896
E05000271,-3.835317402
E05000272,3.670925751
E05000273,-2.529564121
E05000274,8.087196871
E05000275,-11.13563972
E05000276,-12.88962556
E05000277,-5.423063683
E05000278,-3.955067077
E05000279,0.087827772
E05000280,-9.778761495
E05000281,-7.854791798
E05000282,-5.595993505
E05000283,-11.77298125
E05000284,-3.871324997
E05000285,4.518954672
E05000286,5.315002683
E05000287,1.889869469
E05000288,-2.756724897
E05000289,2.14549901
E05000290,-1.235239619
E05000291,2.36035591
E05000292,6.214222273
E05000293,3.160561066
E05000294,1.517921672
E05000295,2.580998252
E05000296,-0.837226621
E05000297,1.493747426
E05000298,8.641209205
E05000299,2.663741053
E05000300,4.683382205
E05000301,-2.084556552
E05000302,0.565078831
E05000303,0.777314743
E05000304,-4.309562249
E05000305,3.018099172
E05000306,-1.725413406
E05000307,7.660606327
E05000308,0.543374729
E05000309,4.884808808
E05000310,-11.3767436
E05000311,4.722655466
E05000312,0.795447917
E05000313,-3.536465839
E05000314,-11.11562555
E05000315,4.335057346
E05000316,0.696497766
E05000317,5.093373385
E05000318,-2.750822806
E05000319,-1.310814073
E05000320,2.516658484
E05000321,-3.472257484
E05000322,2.29385834
E05000323,7.037725667
E05000324,-5.002895138
E05000325,-7.755779838
E05000326,-2.155792747
E05000327,6.27453448
E05000328,-0.011062962
E05000329,8.857786679
E05000330,-4.164395404
E05000331,-2.684932003
E05000332,1.134540107
E05000333,9.197630499
E05000334,6.778696855
E05000335,7.167659247
E05000336,4.798105675
E05000337,-2.462603973
E05000338,4.046343278
E05000339,-7.60391571
E05000340,2.136034627
E05000341,-0.704806901
E05000342,-9.502141824
E05000343,5.717293528
E05000344,-5.140410096
E05000345,-7.384697223
E05000346,-5.626887452
E05000347,0.109798541
E05000348,7.21515913
E05000349,5.881463989
E05000350,-3.614543738
E05000351,-2.994133636
E05000352,-4.980083046
E05000353,-5.950180146
E05000354,-2.887192063
E05000355,-3.234493123
E05000356,0.755670811
E05000357,-4.393928344
E05000358,0.836850779
E05000359,-1.476617299
E05000360,3.651305635
E05000361,-2.709709115
E05000362,-2.002157503
E05000363,6.144068919
E05000364,0.49919655
E05000365,6.550974177
E05000366,-4.948625511
E05000367,-4.089280398
E05000368,-7.451996885
E05000369,-4.954900577
E05000370,-1.887236964
E05000371,-7.018596548
E05000372,2.118316604
E05000373,2.148106521
E05000374,-4.944554776
E05000375,-5.34756159
E05000376,-3.078487336
E05000377,-3.608634883
E05000378,-3.819406332
E05000379,-3.419107454
E05000380,-7.290679773
E05000381,-5.103046747
E05000382,9.130810262
E05000383,11.06883621
E05000384,13.74158256
E05000385,-2.282384766
E05000386,10.59722326
E05000387,1.721535712
E05000388,3.940495449
E05000389,-5.199480629
E05000390,7.525429221
E05000391,11.10921934
E05000392,2.957934275
E05000393,-2.16565455
E05000394,9.533559827
E05000395,11.00247897
E05000396,8.441193168
E05000397,5.829258175
E05000398,-5.607232229
E05000399,7.063824024
E05000400,6.615573968
E05000401,5.830681611
E05000402,3.957514786
E05000403,8.488410897
E05000404,2.128243331
E05000405,4.40322128
E05000406,6.343008296
E05000407,8.359784787
E05000408,2.319507099
E05000409,-2.769875409
E05000410,6.329982745
E05000411,5.30390984
E05000412,7.794386568
E05000413,6.173132214
E05000414,2.550911051
E05000415,9.868572663
E05000416,1.618982926
E05000417,-2.765518377
E05000418,-1.857799686
E05000419,-5.248224997
E05000420,-9.659415269
E05000421,-7.134507668
E05000422,-5.010646422
E05000423,-1.306110784
E05000424,-3.329611143
E05000425,-5.20673519
E05000426,-1.455601087
E05000427,-2.659193351
E05000428,0.138683653
E05000429,-1.561776538
E05000430,-0.999060386
E05000431,-0.02766764
E05000432,-0.770867098
E05000433,0.994811516
E05000434,-0.566288945
E05000435,-5.668671808
E05000436,-6.515304542
E05000437,-7.303917912
E05000438,0.060710477
E05000439,-4.883985745
E05000440,-1.91260219
E05000441,-1.583212428
E05000442,-6.070534619
E05000443,-7.508804531
E05000444,-1.959303378
E05000445,-4.799690166
E05000446,-1.397452514
E05000447,0.3521236
E05000448,-5.772682849
E05000449,-8.878978098
E05000450,-3.774313888
E05000451,-3.959331616
E05000452,-5.637655806
E05000453,-1.514214787
E05000454,-4.60876975
E05000455,5.158492585
E05000456,6.199122096
E05000457,2.04372763
E05000458,-3.073680181
E05000459,10.53999798
E05000460,-4.54548974
E05000461,1.793085254
E05000462,9.829086779
E05000463,-1.28448568
E05000464,0.530316764
E05000465,3.555580431
E05000466,10.17252979
E05000467,-3.138295463
E05000468,-2.017436345
E05000469,7.651072045
E05000470,0.393061828
E05000471,3.650480741
E05000472,10.07800691
E05000473,5.932039416
E05000474,9.62366435
E05000475,-4.898982637
E05000476,-5.093752844
E05000477,-10.17271682
E05000478,-7.235318389
E05000479,-9.280232074
E05000480,-3.716839721
E05000481,-3.121921357
E05000482,-5.664733572
E05000483,-4.348286013
E05000484,-8.757970341
E05000485,-2.203110025
E05000486,-2.317174049
E05000487,-3.713826946
E05000488,-3.714140058
E05000489,-3.947009814
E05000490,-2.959064198
E05000491,-2.020697866
E05000492,-6.340314025
E05000493,-3.171232703
E05000494,-4.745970438
E05000495,2.371523302
E05000496,4.980091204
E05000497,3.712259109
E05000498,-2.891611917
E05000499,4.460178823
E05000500,6.277765667
E05000501,-5.690361917
E05000502,2.778576373
E05000503,0.612511286
E05000504,1.191170171
E05000505,-3.715768793
E05000506,-5.100972477
E05000507,-6.183971871
E05000508,-0.651366982
E05000509,8.633165588
E05000510,2.511710091
E05000511,2.250989452
E05000512,-2.123967402
E05000513,4.95712921
E05000514,-2.77679951
E05000515,4.358771959
E05000516,5.894552366
E05000517,11.43522344
E05000518,8.030868325
E05000519,5.246345372
E05000520,8.458806502
E05000521,0.116022242
E05000522,8.509027016
E05000523,0.62050242
E05000524,8.68328739
E05000525,6.68178707
E05000526,8.185994033
E05000527,9.797181432
E05000528,6.629868439
E05000529,11.56601924
E05000530,10.54096038
E05000531,9.869405633
E05000532,8.234864085
E05000533,4.647908561
E05000534,-6.645127501
E05000535,-6.582862805
E05000536,-3.352913858
E05000537,-2.970238594
E05000538,-1.627722671
E05000539,0.873868873
E05000540,-8.896844229
E05000541,-8.060433117
E05000542,-5.845887373
E05000543,-8.646748584
E05000544,-5.426405993
E05000545,-8.666104046
E05000546,-8.623954755
E05000547,0.250095629
E05000548,-2.062223185
E05000549,-3.695025536
E05000550,-6.019976642
E05000551,-0.97925816
E05000552,-1.556189979
E05000553,-5.461163059
E05000554,9.076110301
E05000555,3.918495819
E05000556,-3.452808885
E05000557,2.893759216
E05000558,6.386342604
E05000559,6.800457367
E05000560,8.448548588
E05000561,8.751745336
E05000562,-3.231852134
E05000563,6.020823901
E05000564,-1.521145486
E05000565,3.878530139
E05000566,1.460818277
E05000567,7.075073791
E05000568,1.401533229
E05000569,2.724665737
E05000570,2.212670572
E05000571,-4.902029235
E05000572,6.617066873
E05000573,-7.083763387
E05000574,-5.60865241
E05000575,0.538863105
E05000576,-9.286480281
E05000577,-5.933617692
E05000578,-6.818045011
E05000579,-10.61778635
E05000580,-5.604301492
E05000581,-3.290438239
E05000582,-9.423362928
E05000583,3.777918927
E05000584,-4.894759464
E05000585,3.720541501
E05000586,-4.380252943
E05000587,-2.647882648
E05000588,-5.382886614
E05000589,-3.522269566
E05000590,-5.49570382
E05000591,-4.664825357
E05000592,-0.062051913
E05000593,1.857623163
E05000594,2.149796662
E05000595,-0.489499954
E05000596,0.371132423
E05000597,1.689880625
E05000598,-2.047133163
E05000599,-2.382021525
E05000600,-4.308939743
E05000601,-5.577145875
E05000602,-1.729130428
E05000603,-3.785856076
E05000604,-5.392800152
E05000605,0.440499001
E05000606,-3.133742676
E05000607,-5.294212155
E05000608,-2.465150566
E05000609,-2.772485341
E05000610,5.333981853
E05000611,2.268679377
E05000612,2.170486649
E05000613,6.14061365
E05000614,3.476956925
E05000615,0.637121826
E05000616,-0.578102498
E05000617,-5.425411575
E05000618,2.368723906
E05000619,5.663777141
E05000620,-2.26060076
E05000621,-1.904638132
E05000622,-1.332611934
E05000623,-1.177780372
E05000624,6.437224581
E05000625,10.68199805
E05000626,2.253809065
E05000627,2.658616845
E05000628,2.942482226
E05000629,-0.010730742
E05000630,7.69949443
E05000631,3.885398336
E05000632,4.235577614
E05000633,-3.784516977
E05000634,-6.087788105
E05000635,-4.42020265
E05000636,4.940451804
E05000637,17.21788366
E05000638,4.726502437
E05000639,1.709697969
E05000640,2.625347231
E05000641,8.390829398
E05000642,-5.34083788
E05000643,7.821723456
E05000644,5.638943751
E05000645,4.610334347
E05000646,6.260523176
E05000647,5.505252282
E05000648,-5.128288106
E05000649,4.560113308
E12000007,-0.597573699
,
E09000002,-7.322280934
E09000003,1.714817186
E09000004,2.141442529
E09000005,-2.944900177
E09000006,4.141780615
E09000007,0.679455014
E09000008,-2.472063949
E09000009,1.190092667
E09000010,-4.911126158
E09000011,-3.36927392
E09000012,-5.220387011
E09000013,-0.673233256
E09000014,-3.982933005
E09000015,2.129984093
E09000016,0.322245898
E09000017,-0.775946026
E09000018,-1.090767088
E09000019,-3.837536048
E09000020,4.759006177
E09000021,4.917942671
E09000022,-3.025035086
E09000023,-4.073413107
E09000024,2.720529538
E09000025,-5.500635339
E09000026,0.580071625
E09000027,7.184298541
E09000028,-3.588026769
E09000029,2.967160201
E09000030,-3.722562473
E09000031,-1.916077953
E09000032,1.634283076
E09000033,3.402054308
